label,cluster_no
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
maize,1
maize,0
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,0
maize,1
maize,1
maize,3
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
chickpea,5
chickpea,5
chickpea,3
chickpea,5
chickpea,5
chickpea,3
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
